"Timestamp","What is your occupation ?","What is your age ?","How many emails do you typically receive per day ?","Which email service do you primarily use ?","How do you currently organize your emails ?","How satisfied are you with your current email management method ?","Did you use the feature to add emails as tasks to your Google Calendar ?","If yes, how did this feature impact your productivity ?","Did the app help you reduce time spent managing emails ?","Usability & Suggestions
How would you rate the overall user interface and design ?","What features did you find most valuable ?","What features would you like to see improved or added ?","Would you recommend Email Sparkle Sorter to others ?","Any additional comments or suggestions ?"
"2025/05/18 3:44:15 PM GMT+1","Student","20","0 -20 emails","Gmail","I do not organize","2","No","","No","5","Categorization","Arrange task in order of value ","Yes","No "
"2025/05/18 4:23:18 PM GMT+1","Student ","20","0 -20 emails","Gmail","I do not organize","1","No","","Not sure","1","🤷🏽‍♀️","🤷🏽‍♀️","Maybe","🤷🏽‍♀️"
"2025/05/18 4:36:22 PM GMT+1","Student","19","21- 50 emails","Gmail","I do not organize","3","No","","No","4","Search","Image search","Yes","No"
"2025/05/18 4:49:11 PM GMT+1","Students ","20","0 -20 emails","Gmail","Folders/labels","4","Yes","No","Not sure","3","Categorization;Task Creation;Search;Mark as Read","Gmail","Maybe","Nope "
"2025/05/18 5:25:00 PM GMT+1","Student","24","0 -20 emails","Gmail","Folders/labels","5","Yes","Yes","Yes","3","Categorization","Design and layout ","Yes","No"
"2025/05/18 5:28:52 PM GMT+1","Student ","23","21- 50 emails","Gmail","I do not organize","2","No","","Not sure","3","Categorization;Search","Search ","Yes","None but great work "
"2025/05/18 8:30:49 PM GMT+1","Student ","22","51 - 100 emails","Gmail","I do not organize","5","No","","No","2","Task Creation","Calendar ","Yes","Courage "
"2025/05/18 8:50:27 PM GMT+1","Student","21","0 -20 emails","Gmail","I do not organize","2","No","","Not sure","4","Task Creation;Search","Task creation","Maybe","Keep going"
"2025/05/18 9:28:19 PM GMT+1","Student","24","0 -20 emails","Gmail","Manual Sorting, Filters,","4","No","","Yes","5","Categorization","Integrating Ai to it","Maybe","None"
"2025/05/19 5:53:34 PM GMT+1","Student","18","21- 50 emails","Gmail","I do not organize","4","No","","Yes","3","Mark as Read","None","Maybe","No"
"2025/05/19 6:19:12 PM GMT+1","Student","21","0 -20 emails","Gmail","Manual Sorting, Filters,","4","No","","Not sure","4","Categorization","Ahhh","Maybe","Ohhhh"
